date,side,amount,rate,fee,credit,coin,portvalue
2023-03-09 12:23:57,buy,1.51401179,13.56,0.06,0.06,XRP,11614.92
2023-03-09 12:58:29,buy,0.00004759,759692.77,0.10,0.10,BTC,11614.92
2023-03-09 13:14:31,sell,0.9486,13.59,0.04,0.04,XRP,11578.76
2023-03-09 13:34:46,buy,0.00001468,758492.41,0.03,0.03,BTC,11619.02
2023-03-09 18:58:28,sell,2.8031,13.74,0.10,0.10,XRP,11619.02
2023-03-09 19:40:07,sell,0.354,58.66,0.06,0.06,KUB,11599.02
2023-03-09 19:42:57,sell,3.633721,13.76,0.13,0.13,XRP,11599.02
2023-03-09 19:57:14,buy,2.53149891,13.81,0.09,0.09,XRP,11669.78
2023-03-10 01:41:29,buy,6.038292,13.58,0.21,0.21,XRP,11669.78
2023-03-10 01:45:36,buy,0.00021991,736660.46,0.41,0.41,BTC,11669.78
2023-03-10 03:19:49,buy,0.00013996,725173.92,0.26,0.26,BTC,11380.82
2023-03-10 03:43:34,buy,9.49885057,13.05,0.31,0.31,XRP,11279.32
2023-03-10 03:49:04,buy,0.00008360,718294.72,0.16,0.16,BTC,11155.36
2023-03-10 03:43:34,buy,9.49885057,13.05,0.31,0.31,XRP,11095.31
2023-03-10 03:58:52,buy,0.00010640,709998.93,0.19,0.19,BTC,11095.31
2023-03-10 03:59:00,buy,3.14728682,12.90,0.11,0.11,XRP,11019.76
2023-03-10 04:24:18,sell,0.00010000,716007.53,0.18,0.18,BTC,10979.16
2023-03-10 05:27:35,sell,4.7672,13.08,0.16,0.16,XRP,11050.76
2023-03-10 06:03:38,buy,0.21470085,58.50,0.04,0.04,KUB,11113.11
2023-03-10 07:16:26,buy,0.00010010,709458.57,0.18,0.18,BTC,11100.55
2023-03-10 07:16:32,buy,3.5073359,12.95,0.12,0.12,XRP,11029.53
2023-03-10 07:45:16,buy,0.1953125,57.60,0.03,0.03,KUB,10984.11
2023-03-10 07:53:49,buy,0.25426411,56.87,0.04,0.04,KUB,10972.86
2023-03-10 08:45:54,sell,3.3033,13.00,0.11,0.11,XRP,10958.40
2023-03-10 09:21:49,sell,0.2599,57.21,0.04,0.04,KUB,11001.34
2023-03-10 12:01:09,buy,0.75952337,55.39,0.11,0.11,KUB,11016.20
2023-03-10 12:08:35,buy,0.25446182,54.35,0.04,0.04,KUB,10974.13
2023-03-10 12:16:08,buy,0.29233644,53.50,0.04,0.04,KUB,10960.30
2023-03-10 12:20:25,sell,0.3025,54.21,0.05,0.05,KUB,10944.66
2023-03-10 12:26:51,buy,0.00008827,701538.26,0.16,0.16,BTC,10961.05
2023-03-10 12:42:49,sell,0.1974,54.76,0.03,0.03,KUB,10899.12
2023-03-10 13:29:42,buy,2.88666152,12.97,0.10,0.10,XRP,10909.92
2023-03-10 13:56:09,buy,0.19396947,54.39,0.03,0.03,KUB,10872.48
2023-03-10 16:45:12,buy,2.74492979,12.82,0.09,0.09,XRP,10861.93
2023-03-10 17:30:51,buy,0.19077606,53.99,0.03,0.03,KUB,10826.74
2023-03-10 17:43:34,buy,0.00009632,692725.55,0.17,0.17,BTC,10816.44
2023-03-10 17:58:31,sell,0.2043,54.01,0.03,0.03,KUB,10749.71
2023-03-10 17:59:39,buy,0.31484893,54.28,0.05,0.05,KUB,10760.74
2023-03-10 19:12:17,sell,0.3351,54.07,0.05,0.05,KUB,10743.65
2023-03-10 19:15:31,buy,0.22092592,54.00,0.03,0.03,KUB,10761.76
2023-03-10 19:25:08,sell,0.2376,54.02,0.04,0.04,KUB,10749.83
2023-03-11 04:58:29,sell,0.00010000,699908.11,0.18,0.18,BTC,10762.66
2023-03-11 06:09:22,sell,0.2226,55.00,0.04,0.04,KUB,10832.65
2023-03-11 06:53:34,sell,0.198,55.51,0.03,0.03,KUB,10844.89
2023-03-11 07:29:33,sell,0.00010000,707416.54,0.18,0.18,BTC,10855.88
2023-03-11 07:59:28,sell,0.1842,56.21,0.03,0.03,KUB,10926.62
2023-03-11 08:03:48,sell,3.78,12.99,0.13,0.13,XRP,10936.97
2023-03-11 08:33:25,sell,0.00010000,717056.09,0.18,0.18,BTC,10986.07
2023-03-11 08:43:00,sell,0.4891,56.58,0.07,0.07,KUB,11057.77
2023-03-11 08:44:06,sell,0.00010000,724000.00,0.19,0.19,BTC,11085.44
2023-03-11 08:44:11,buy,0.42034616,56.62,0.06,0.06,KUB,11157.84
2023-03-11 08:45:19,sell,2.6657,13.08,0.09,0.09,XRP,11134.04
2023-03-11 08:48:31,sell,0.1884,56.81,0.03,0.03,KUB,11168.90
2023-03-11 09:18:23,buy,0.00009379,718406.00,0.17,0.17,BTC,11179.60
2023-03-11 09:57:32,buy,4.31944444,12.96,0.14,0.14,XRP,11112.22
2023-03-11 11:06:27,buy,0.20703677,56.56,0.03,0.03,KUB,11056.24
2023-03-11 11:44:46,buy,0.27356115,55.60,0.04,0.04,KUB,11044.53
2023-03-11 12:35:48,buy,0.00008480,710898.14,0.16,0.16,BTC,11029.32
2023-03-11 13:49:58,buy,0.228,55.00,0.04,0.04,KUB,10969.03
2023-03-11 14:18:44,buy,0.00009169,703450.35,0.17,0.17,BTC,10956.49
2023-03-11 14:37:48,buy,0.12589597,54.41,0.02,0.02,KUB,10891.99
2023-03-11 14:38:59,buy,3.40720438,12.77,0.11,0.11,XRP,10873.81
2023-03-11 14:44:16,buy,0.00008645,696557.55,0.16,0.16,BTC,10830.30
2023-03-11 15:04:26,buy,3.0451664,12.62,0.10,0.10,XRP,10770.08
2023-03-11 17:37:58,sell,0.2447,54.08,0.04,0.04,KUB,10731.65
2023-03-11 18:18:21,buy,0.23506708,54.41,0.04,0.04,KUB,10744.88
2023-03-11 18:32:12,sell,0.205,54.08,0.03,0.03,KUB,10732.09
2023-03-11 18:33:20,buy,0.18807339,54.50,0.03,0.03,KUB,10743.17
2023-03-11 18:49:15,sell,0.1947,54.04,0.03,0.03,KUB,10732.92
2023-03-12 03:38:47,sell,0.00020000,710212.90,0.36,0.36,BTC,10743.44
2023-03-13 00:14:56,buy,9.3204918,12.20,0.29,0.29,XRP,10885.48
2023-03-13 01:37:33,sell,0.00020000,730614.96,0.37,0.37,BTC,10771.77
2023-03-13 05:18:59,sell,0.00020000,741186.27,0.38,0.38,BTC,10917.89
2023-03-13 05:19:06,sell,8.6593,12.57,0.28,0.28,XRP,11066.12
2023-03-13 10:27:24,sell,0.00010000,760501.46,0.20,0.20,BTC,11174.96
2023-03-13 11:44:12,sell,0.794,56.80,0.12,0.12,KUB,11251.01
2023-03-13 13:55:37,sell,0.00020000,773305.13,0.39,0.39,BTC,11296.10
2023-03-13 16:35:44,buy,0.00006310,759998.74,0.12,0.12,BTC,11450.76
2023-03-14 01:03:25,sell,0.00070000,832535.00,1.46,1.46,BTC,11303.42
2023-03-14 09:15:11,sell,0.50097881,58.81,0.08,0.08,KUB,11886.19
2023-03-14 12:12:04,sell,0.00010000,849705.43,0.22,0.22,BTC,11926.70
2023-03-15 00:26:49,sell,0.00030000,882389.46,0.67,0.67,BTC,12011.67
2023-03-15 00:26:54,sell,9.7992,13.05,0.32,0.32,XRP,12276.38
2023-03-15 01:51:50,buy,0.00016473,858930.04,0.36,0.36,BTC,12404.25
2023-03-15 02:16:16,buy,0.00016613,839974.15,0.35,0.35,BTC,12262.75
2023-03-15 04:08:23,buy,7.60835303,12.69,0.25,0.25,XRP,12123.20
2023-03-15 08:03:43,sell,0.00010000,856500.00,0.22,0.22,BTC,12026.65
2023-03-15 23:12:34,buy,0.00013490,836971.71,0.29,0.29,BTC,12112.30
2023-03-15 23:15:50,buy,0.72421642,57.11,0.11,0.11,KUB,11999.39
2023-03-16 00:49:16,buy,7.81619433,12.35,0.25,0.25,XRP,11958.03
2023-03-16 05:04:55,sell,0.00010000,852275.20,0.22,0.22,BTC,11861.50
2023-03-17 02:24:44,sell,0.00010000,865710.92,0.22,0.22,BTC,11946.72
2023-03-17 08:41:46,sell,0.00010000,874090.14,0.22,0.22,BTC,12033.29
2023-03-17 09:08:11,sell,0.00010000,887526.94,0.23,0.23,BTC,12120.69
2023-03-17 09:14:35,sell,7.8164,12.67,0.25,0.25,XRP,12209.44
2023-03-17 10:44:21,sell,0.6874,59.07,0.11,0.11,KUB,12308.47
2023-03-17 12:16:34,sell,0.7202,61.85,0.12,0.12,KUB,12349.07
2023-03-17 17:18:32,sell,0.00010000,902256.05,0.23,0.23,BTC,12393.61
2023-03-17 20:42:03,sell,8.2232,13.02,0.27,0.27,XRP,12483.83
2023-03-17 21:48:46,buy,0.67673716,59.58,0.11,0.11,KUB,12590.89
2023-03-17 23:20:53,buy,8.65903709,12.67,0.28,0.28,XRP,11525.57
2023-03-18 02:06:28,sell,0.00010000,915595.42,0.23,0.23,BTC,11415.86
2023-03-18 05:08:00,sell,0.00010000,929961.30,0.24,0.24,BTC,11507.41
2023-03-18 05:39:41,sell,0.00010000,942000.17,0.24,0.24,BTC,11600.40
2023-03-18 08:22:00,sell,8.0437,13.04,0.27,0.27,XRP,11694.60
2023-03-18 10:15:02,buy,0.00013716,922486.41,0.32,0.32,BTC,11799.48
2023-03-18 23:31:08,buy,7.40883977,12.67,0.24,0.24,XRP,11756.55
2023-03-19 12:49:46,sell,6.9977,13.02,0.23,0.23,XRP,11662.68
2023-03-19 17:59:38,sell,6.8302,13.35,0.23,0.23,XRP,11753.79
2023-03-19 23:43:56,sell,0.00020000,949656.40,0.48,0.48,BTC,11844.97
2023-03-20 09:42:43,buy,0.00012328,932244.38,0.29,0.29,BTC,12034.90
2023-03-20 11:03:18,buy,8.68518518,12.96,0.29,0.29,XRP,11919.97
2023-03-20 14:09:57,sell,0.00010000,947870.05,0.24,0.24,BTC,11807.41
2022-11-16 22:28:09,buy,0.00036951,43300.00,0.04,0.04,ETH,11902.19
2023-03-18 12:15:20,sell,0.21252500,96.93,0.06,0.06,DYDX,11905.19
2022-11-16 22:28:09,buy,0.00036951,43300.00,0.04,0.04,ETH,11905.19
2023-03-18 12:15:20,sell,0.21252500,96.93,0.06,0.06,DYDX,11905.19
2023-03-20 11:03:18,buy,8.68518518,12.96,0.29,0.29,XRP,11789.19
2023-03-21 04:05:02,sell,0.00010000,963504.83,0.25,0.25,BTC,11902.19
2023-03-21 16:45:57,sell,0.00010000,960900.07,0.25,0.25,BTC,11886.66
2023-03-21 17:17:28,sell,7.9002,13.32,0.27,0.27,XRP,11982.75
2023-03-22 00:01:55,sell,34.2551,15.32,1.32,1.32,XRP,12087.98
2023-03-22 01:26:18,buy,6.14258188,15.57,0.24,0.24,XRP,13098.76
2023-03-22 01:37:03,buy,0.00022871,965156.96,0.56,0.56,BTC,13003.12
2023-03-22 02:08:15,buy,0.00029812,61484.39,0.05,0.05,ETH,12782.37
2023-03-22 02:32:05,sell,6.4429,16.04,0.26,0.26,XRP,12764.04
2023-03-22 05:44:49,buy,6.40613026,15.66,0.26,0.26,XRP,12867.38
2023-03-22 07:01:47,sell,8.9383,16.12,0.37,0.37,XRP,12767.06
2023-03-22 08:02:58,buy,8.52274183,15.61,0.34,0.34,XRP,12911.14
2023-03-22 11:16:57,sell,6.1328,16.01,0.25,0.25,XRP,12778.10
2023-03-22 15:38:07,buy,6.12740076,15.62,0.24,0.24,XRP,12876.28
2023-03-22 21:46:15,sell,0.00010000,985063.15,0.25,0.25,BTC,12780.57
2023-03-23 00:34:44,buy,8.53381962,15.08,0.33,0.33,XRP,12879.07
2023-03-23 01:37:10,buy,0.00013398,958377.72,0.33,0.33,BTC,12750.38
2023-03-23 02:09:42,buy,0.00014701,939999.99,0.35,0.35,BTC,12621.97
2023-03-23 02:09:48,buy,8.64383561,14.60,0.32,0.32,XRP,12483.78
2023-03-23 02:48:42,buy,7.49151343,14.14,0.27,0.27,XRP,12357.58
2023-03-23 04:36:11,sell,6.5952,14.50,0.24,0.24,XRP,12251.65
2023-03-23 14:35:11,sell,7.7507,14.89,0.29,0.29,XRP,12347.28
2023-03-23 23:47:49,sell,0.00020000,965186.19,0.49,0.49,BTC,12589.89
2023-03-24 01:45:33,buy,8.66889185,14.98,0.33,0.33,XRP,12782.92
2023-03-24 01:55:19,buy,0.00012318,950710.67,0.30,0.30,BTC,12653.06
2023-03-24 18:10:59,buy,0.75227043,59.46,0.12,0.12,KUB,12535.95
2023-03-24 18:48:40,buy,7.26391752,14.55,0.27,0.27,XRP,12491.22
2023-03-25 04:27:08,buy,0.00012962,933353.06,0.31,0.31,BTC,12385.53
2023-03-25 09:28:29,sell,0.00010000,949350.48,0.24,0.24,BTC,12264.54
2023-03-25 11:39:32,sell,6.5769,14.89,0.25,0.25,XRP,12359.47
2023-03-25 11:50:20,sell,6.5778,15.32,0.26,0.26,XRP,12457.40
2023-03-26 01:12:05,sell,6.0866,15.67,0.24,0.24,XRP,12547.72
2023-03-26 05:59:56,buy,6.39921465,15.28,0.25,0.25,XRP,12643.09
2023-03-26 15:15:04,sell,6.3994,15.70,0.26,0.26,XRP,12545.31
2023-03-26 15:22:44,sell,62.1928,15.61,2.43,2.43,XRP,12645.78
2023-03-27 03:43:28,buy,6.30334865,15.23,0.24,0.24,XRP,13616.60
2023-03-27 10:07:48,sell,6.7526,15.63,0.27,0.27,XRP,13520.60
2023-03-27 19:47:18,sell,0.5998880,16.62,0.03,0.03,XRP,12783.14
2023-03-31 00:48:55,buy,12.74235807,18.32,0.59,0.59,XRP,14608.13
2023-03-31 14:22:13,buy,0.00012182,950292.85,0.29,0.29,BTC,14374.69
2023-03-31 23:39:18,sell,0.00010000,969300.00,0.25,0.25,BTC,14258.92
